Watching for file changes with StatReloader
Watching for file changes with StatReloader
"GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
Bad Request: /api/users/
"POST /api/users/ HTTP/1.1" 400 11248
"POST /api/users/ HTTP/1.1" 201 11471
"GET / HTTP/1.1" 200 622
C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\messaging_app\settings.py changed, reloading.
Watching for file changes with StatReloader
Watching for file changes with StatReloader
"GET / HTTP/1.1" 200 622
"GET / HTTP/1.1" 200 622
"GET / HTTP/1.1" 200 622
"GET / HTTP/1.1" 200 622
"GET / HTTP/1.1" 200 622
Not Found: /.well-known/appspecific/com.chrome.devtools.json
"GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 2781
Watching for file changes with StatReloader
"GET / HTTP/1.1" 200 622
"GET / HTTP/1.1" 200 622
Watching for file changes with StatReloader
"GET / HTTP/1.1" 200 622
"GET / HTTP/1.1" 200 622
"GET /admin/ HTTP/1.1" 200 11077
"GET /admin/chats/user/add/ HTTP/1.1" 200 25304
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /admin/ HTTP/1.1" 200 11077
"GET /api/messages/ HTTP/1.1" 200 15804
"GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
"GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
"GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
"GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
"GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
"GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
"GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
"GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
"GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
"GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
"GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
"GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 0
"GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
"POST /api/messages/ HTTP/1.1" 201 11682
C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\messaging_app\urls.py changed, reloading.
Watching for file changes with StatReloader
"GET /api/messages/ HTTP/1.1" 200 16865
"GET / HTTP/1.1" 200 6864
C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\messaging_app\urls.py changed, reloading.
Watching for file changes with StatReloader
"GET / HTTP/1.1" 200 6864
"GET /admin/ HTTP/1.1" 200 11077
"GET /api/ HTTP/1.1" 200 6158
"GET /api/messages/ HTTP/1.1" 200 16865
Not Found: /.well-known/appspecific/com.chrome.devtools.json
"GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 2781
- Broken pipe from ('127.0.0.1', 54031)
"GET /api/users/ HTTP/1.1" 200 18135
Not Found: /.well-known/appspecific/com.chrome.devtools.json
"GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 2781
- Broken pipe from ('127.0.0.1', 54033)
"GET /static/rest_framework/css/bootstrap.min.css.map HTTP/1.1" 200 540434
Not Found: /.well-known/appspecific/com.chrome.devtools.json
"GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 2781
